,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output
23,2.2,1338.903832,-4.4,1.1,0,6.64E-06,3386.457667,0.000549829,310125.293,0.431648362,0.26872947,1.685544741,0.404459969,1.94165336,3.819586234,5116.935531,0.000496492,5.90E-08,0.003509328,8.97E-09,0.000891886,7.98E-07,0.25202016,0.221380057,0.481237776,0.071723344,0.125203491,1.185282636,2.559752544,0.53702086,2.206595774,3.225450245,0.221002161,0.903476193,6.613036112,2.569591837,0.281782287,1.233014598,0.120728844,0.889488573,4.92209901,2.068238516,0.220218081,1.247861726
24,1.1,1309.057349,2.2,0,1.1,1.16E-06,3780.438294,0.000472162,306905.3674,0.439502841,0.255706816,1.546780846,0.80749239,0.514450321,1.306108833,37457.61013,0.000139355,7.92E-07,0.003277048,3.30E-08,0.000527904,2.73E-07,0.468393271,0.359966121,0.507026702,0.004238808,0.113507074,0.809857842,1.794975072,0.755939443,0.720904425,1.499060089,0.218773952,0.90245734,4.207992242,2.227451874,1.263416536,2.16562985,0.120643548,1.000790284,4.178900266,1.906965653,0.920057126,2.821012314
25,2.2,1568.846353,2.2,0,1.1,6.43E-06,3833.038268,0.001072429,314067.4187,0.921251098,0.538410868,0.09005434,0.254543586,1.640469416,2.788693139,198806.8638,0.000353785,5.13E-07,0.007322017,3.33E-07,0.000437825,1.09E-06,0.417969194,0.178351574,0.137639499,0.054268576,0.12566381,1.006369061,2.058111866,0.896829693,3.621773874,3.238675818,0.236777947,0.902157638,3.815488552,1.890420555,1.203959707,2.143823821,0.120676297,0.994583411,4.797666542,2.047832256,0.765836007,2.83777946
26,1.1,1559.295534,-3.3,0,1.1,8.69E-06,3363.232094,0.000492908,298991.0211,0.603616055,0.360171628,1.742120024,1.22877037,0.239909141,4.526514561,52748.53538,0.000794462,3.09E-07,0.008028258,7.69E-07,0.000623272,2.25E-07,0.416365479,0.147151227,0.121127122,0.029282365,0.13063669,3.214639469,2.866066973,1.675054217,1.828393233,2.479056536,0.221358812,2.010543801,6.891887361,2.763037839,1.489678257,2.378702128,0.120852097,6.593108783,6.738102743,2.610371404,1.117720039,2.680195619
27,1.1,1088.026725,-4.4,0,1.1,1.89E-06,3304.563838,0.00087783,286170.314,0.066468071,0.134903471,1.864034141,1.177893559,2.147382011,3.746169721,6229.584409,0.000903882,1.94E-08,0.003706619,2.17E-07,0.000264233,8.90E-07,0.166516229,0.419664051,0.509771156,0.005623868,0.125289688,1.143306614,2.407628796,0.953273553,1.552328142,2.30424035,0.208918386,1.590073963,7.717140881,3.00126258,1.684013567,2.404488338,0.120933553,1.576701563,5.633754713,2.317429905,2.986992303,3.161787361
28,1.1,1519.283607,-3.3,0,0,9.79E-06,3418.263949,0.000410825,279405.7855,0.813612057,0.450626266,0.459025709,0.671309065,1.79904264,2.19290247,62770.86847,0.000473489,1.05E-06,0.003067008,2.93E-07,0.00106654,1.01E-06,0.143928283,0.503346087,0.230292679,0.095364435,0.119858723,3.559911944,1.372583435,0.6062688,0.653378416,1.604097865,0.208918386,3.723109737,7.204377062,4.237234985,2.075947692,2.799131262,0.12043747,6.427437471,4.403496488,1.926830015,0.863138729,2.527412923
29,1.1,1144.109635,5.5,0,0,7.34E-06,3294.846581,0.000499191,289067.0627,0.307712517,0.378589374,0.959677066,0.72206012,1.108418382,3.801303718,197054.2708,0.001071417,4.55E-07,0.007945712,5.03E-07,0.000151309,9.79E-07,0.272367388,0.31228256,0.371736424,0.073136077,0.11536114,3.620028102,1.490701808,0.555406774,1.156881147,2.493499811,0.237083717,2.31374917,4.972835534,2.253929221,0.94855311,2.213099048,0.123499534,3.549518253,3.80394517,1.868297808,2.846901507,2.855983239
30,0,1013.320715,-5.5,1.1,0,5.69E-06,3325.256439,0.001083518,296787.749,0.375360918,0.909835451,0.923120033,0.664271498,0.53616747,2.649737972,76883.5039,0.000840576,1.01E-06,0.010675273,3.70E-07,0.0003226,4.15E-07,0.40083134,0.176556376,0.387264781,0.008859903,0.120225965,2.67326712,1.673897701,1.056561526,1.691510443,1.987085515,0.208918386,2.5050422,8.084923512,5.240707389,1.50887157,2.440221617,0.124053136,2.742016833,3.41423421,1.68472085,2.242802564,2.235576037
31,1.1,1425.038416,1.1,1.1,0,5.86E-06,3634.022425,0.000685217,302139.9017,0.39100652,0.444741773,0.622018159,0.304222575,0.386864792,5.324533922,10075.6436,0.000706346,1.94E-08,0.006637014,5.68E-07,0.000624451,6.98E-07,0.276536429,0.123435296,0.201256302,0.017403613,0.125613773,1.117319498,2.154733376,0.885203982,4.221695799,3.210850466,0.236906095,0.793233439,3.645217383,1.457656769,0.698528632,1.771559114,0.120284492,1.324193166,3.950353665,1.835491608,3.21969631,2.931464739
32,0,1595.975376,-4.4,1.1,1.1,2.53E-06,3589.539743,0.000832611,287837.3867,0.439554038,0.411636506,1.527065264,0.817252226,1.167129245,4.406394056,77875.57274,0.000560616,5.92E-07,0.009821018,1.97E-07,3.08E-05,8.28E-08,0.49176723,0.321329689,0.145426632,0.016625186,0.119622525,2.901624349,1.341169213,0.536095493,1.149937694,2.021827123,0.208918386,0.903575645,3.870474294,2.189736436,0.666072563,1.785883886,0.124075395,0.960250462,3.300247035,1.57838901,0.355940764,1.604861538
